Title	tip	these	could	indent	commands	would	make	works	cheap	things	mmm	under	an	first	vi	another	handy	not	delete	states	back	around	ignore	how	jumping	matters	what	new	graywh	after	do	lot	window	knowing	open	other	right	keep	modified	current	take	allows	left	more	good	characters	without	given	doing	undo	reader	they	mode	value	add	paragraph	there	grab	following	here	run	does	change	options	very	then	changed	only	used	vertical	cursor	x	will	setting	disable	need	buffer	screen	useful	type	most	switching	flag	two	tips	makes	sure	just	allow	but	reformat	process	map	easy	rss	love	shell	standard	set	os	plugin	already	normal	nice	get	many	my	visited	file	way	ruler	me	spaces	page	backtick	so	introduction	pattern	one	should	filetype	has	horizontal	anonymous	much	up	ex	thought	modelines	tabs	previous	specific	than	know	few	work	which	really	about	had	while	beginning	because	tao	like	split	might	scrolling	always	when	typing	basic	tab	number	remap	levels	working	inside	code	key	actually	some	even	between	removing	see	or	windows	autocompletion	autowrite	equal	quick	little	also	extending	out	programming	time	replace	insert	thanks	support	been	list	all	give	lines	history	different	over	them	any	put	emacs	files	was	line	why	hit	using	applications	easier	next	into	eclipse	where	something	great	directory	find	no	found	name	converting
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0
	14	0	17	0	0	0	0	0	0	0	0	0	35	0	18	0	0	17	0	0	0	14	17	17	0	0	17	0	0	0	63	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	14	0	0	0	0	18	0	0	0	0	0	15	17	0	17	0	0	0	0	0	17	0	18	0	18	0	0	18	0	0	18	0	0	0	18	17	14	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	18	0	0	0	0	17	0	14	0	49	0	0	14	0	0	0	34	18	0	0	0	0	0	18	32	0	0	17	0	0	0	0	0	0	17	0	0	14	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	14	0	0	0	0	17	0	0	45	0	0	0	0	0	0	18	0	0	0	0	48	0	65	0	0	69	0	0	18	0	0	63	14	0	0	14	0	14	17	0	0	28	0	18	0	0	17	18	18	0	14	18	28	0	0	14	65	17	0	17	0
	0	17	34	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	18	0	0	14	36	0	0	0	0	0	17	0	31	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	18	31	0	0	0	0	0	0	0	0	0	18	18	0	0	0	0	0	0	0	17	14	0	0	0	0	0	36	0	18	14	0	0	17	31	18	0	0	0	18	0	0	0	17	0	0	14	0	0	14	0	0	0	42	0	0	0	18	18	18	0	0	0	0	17	0	0	0	0	17	0	0	0	18	18	0	0	14	0	0	0	0	17	0	0	0	0	0	0	28	0	0	0	0	14	0	0	0	0	18	0	14	0	0	0	14	0	0	0	18	0	17	36	0	0	18	0	0	17	18	0	0	0	0	0	17	0	0	0	52	0	0	18	14	0	17	14	0	0	14	0	0	0	0	14	0	0	0	0	0	0	14	0	0	0	0	0	0	18
	17	0	0	0	0	17	0	0	0	0	0	117	17	0	0	17	0	34	0	0	17	0	0	0	0	0	0	0	0	0	17	0	0	0	0	17	18	0	0	17	0	0	35	17	0	31	0	14	0	0	0	0	14	49	0	0	0	0	0	14	0	17	0	0	0	0	17	0	0	0	137	0	17	18	17	0	0	17	0	14	0	0	0	17	0	0	0	34	0	14	0	0	18	0	0	0	14	0	323	0	0	0	14	0	0	0	68	0	0	0	0	17	0	0	0	0	0	0	0	0	18	0	0	16	0	0	14	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	17	68	0	0	0	0	0	0	0	0	0	0	0	14	0	17	0	0	34	0	0	0	0	0	0	17	0	14	0	0	0	0	0	0	0	31	0	0	17	0	0	0	17	0	17	0	35	17	51	0	14	45	0	0	0	14	0	17	0	0	0	18	0	0	0	0
	0	34	28	0	0	31	17	34	0	0	0	0	34	67	0	0	0	31	0	0	17	0	0	17	14	0	17	17	0	34	99	0	45	0	14	51	17	0	0	34	17	0	0	113	0	0	0	0	0	0	0	0	48	0	51	0	34	0	28	0	0	65	35	31	0	34	0	17	0	0	14	17	82	0	17	17	52	14	0	28	17	17	0	0	0	0	0	48	0	45	0	0	0	17	0	0	0	0	34	17	31	0	14	0	17	0	0	0	96	17	0	31	0	0	0	65	0	0	34	0	68	14	0	16	17	34	0	0	0	0	0	14	79	31	17	17	76	0	14	14	17	14	0	0	82	0	0	0	17	34	0	0	18	0	14	0	0	0	34	18	0	31	0	17	0	42	45	18	81	0	0	0	17	17	0	80	0	17	0	76	14	0	14	51	65	17	17	0	0	31	17	17	34	0	17	0	0	0	0	34	0	14	0	0	17	0	48	17	0	0	14	0	17	0
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	17	0	0	0	0	0	0	0	14	0	0	0	14	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	17	0	17	0	0	0	0	0	0	0	17	0	31	0	0	0	0	0	0	17	0	17	0	0	0	0	34	0	0	0	0	35	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	17	0	17	34	0	17	0	0	0	17	0	0	0	0	0	0	0	16	17	0	0	0	0	35	0	0	0	31	0	17	0	0	17	0	0	0	0	0	0	0	0	0	0	17	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	17	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	18	0	0	0	17	0	0	0	0	0	0	0	0	0	0
	0	0	62	0	0	114	0	0	0	31	0	0	62	50	0	65	0	46	0	0	49	0	0	14	0	0	0	31	0	17	28	0	0	0	0	14	0	0	0	0	0	0	18	0	42	17	14	14	18	0	0	17	0	0	0	0	31	0	14	0	0	14	35	0	14	0	0	32	31	0	17	34	0	0	0	0	18	0	0	0	0	0	0	0	0	0	28	99	0	144	0	0	0	14	0	0	0	0	17	0	0	0	0	0	42	14	82	0	31	0	0	80	0	0	0	97	0	0	65	14	0	17	0	16	14	59	0	17	0	0	0	0	14	0	31	31	14	17	0	177	0	0	0	0	17	0	0	0	0	46	0	0	18	0	0	0	31	0	0	18	17	34	17	0	0	14	49	35	18	0	0	0	31	0	0	49	0	0	0	0	0	0	0	0	17	0	35	0	28	52	0	14	0	0	17	270	0	17	18	17	0	0	14	14	0	0	0	0	17	18	14	0	14	0
	14	0	34	0	0	17	17	51	0	17	0	0	34	17	0	0	0	17	0	0	0	17	0	0	0	18	17	0	17	0	170	0	0	0	0	17	0	31	17	31	0	0	0	17	0	0	0	0	17	0	0	0	18	0	0	0	0	0	0	17	96	17	17	0	17	17	17	0	0	0	0	0	34	0	0	17	51	0	0	34	0	0	0	0	0	0	17	82	0	68	0	0	100	0	0	0	0	14	18	0	0	0	0	0	34	0	59	0	85	17	0	17	17	0	0	82	0	0	34	17	0	0	0	0	0	0	18	0	0	0	0	0	0	17	0	0	0	17	0	14	14	0	17	0	0	0	0	0	14	51	0	0	0	0	0	0	0	0	17	34	34	34	0	0	0	0	82	34	0	0	0	0	34	51	0	17	18	34	14	18	34	0	0	17	34	0	0	0	34	0	34	34	17	18	34	14	0	18	45	0	0	0	34	18	0	0	17	17	0	0	17	14	17	0
	0	0	0	18	0	30	14	0	0	0	18	0	0	0	0	14	0	0	14	18	0	0	0	0	18	0	0	0	0	0	28	0	18	18	15	0	0	0	14	28	0	0	0	0	0	18	0	0	0	18	68	0	0	0	0	0	0	18	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	18	0	0	64	0	0	14	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	30	15	18	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	14	0	0	14	0	0	15	0	18	0	18	0	0	0	18	0	0	0	0	0	0	0	18	0	0	0	0	14	0	0	0	0	0	29	0	0	18	0	0	0	0	0	0	18	0	0	36	0	0	15	0	58	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	18	0	0	18	14	15	18	0	14	0	0	0
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	17	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
